Count,Favorites_Sum,Favorites_avg,Score_avg,members_sum,members_avg
12324,749386,60.80704316780266,6.991224970553592,33960390,2755.630477117819
11305,871833,77.11923927465723,6.992362453858323,33098655,2927.7890314020347
8412,92671,11.016524013314314,6.951718340611353,8377926,995.9493580599144
7895,1234551,156.37124762507918,7.108738779174147,31689426,4013.860164661178
7678,80104,10.432925240948164,6.890453699395067,8216399,1070.1222974733003
7177,1024577,142.7583948725094,6.971889149102264,25203435,3511.6949979099904
6452,1696470,262.9370737755735,7.007975495915985,34988780,5422.9355238685675
5327,12078,2.267317439459358,6.784779026217229,1575172,295.6958888680308
5220,804548,154.127969348659,7.019930018416207,19804637,3793.991762452107
4603,254474,55.28437975233543,7.118642892521049,9222724,2003.6332826417554
2986,891770,298.6503683858004,7.0189369592089,15428044,5166.793034159411
2663,148510,55.767930904994365,6.663460706560923,8211559,3083.5745399924895
2463,270710,109.91067803491677,7.013411053540587,8309541,3373.747868453106
1955,314853,161.05012787723786,7.110668789808917,8262697,4226.44347826087
1443,379929,263.2910602910603,6.830564417177914,8327730,5771.122661122661
1143,43408,37.977252843394574,6.889844192634562,2166549,1895.4934383202099
1002,105505,105.2944111776447,7.143841961852861,2570659,2565.5279441117764
458,106386,232.28384279475983,7.082663316582916,2773037,6054.6659388646285
439,934944,2129.7129840546695,7.820632911392404,12588944,28676.410022779044
382,19914,52.13089005235602,7.162017543859649,754055,1973.9659685863874
64,483,7.546875,6.565517241379312,54678,854.34375
